,Unidad,noIdentificacion,Descripción,Valor Unitario
,pz,ALC01           ,TUBO ALCANTARILLADO METRICO S-25 160MM  ,0
,pz,ALC02           ,TUBO ALCANTARILLADO METRICO S-25 200MM  ,0
,pz,ALC03           ,TUBO ALCANTARILLADO METRICO S-25 250MM  ,0
,pz,ALC04           ,TUBO ALCANTARILLADO METRICO S-25 315MM  ,0
,pz,ALC05           ,TUBO ALCANTARILLADO METRICO S-25 355MM  ,0
,pz,ALC06           ,TUBO ALCANTARILLADO METRICO S-25 400MM  ,0
,pz,ALC07           ,TUBO ALCANTARILLADO METRICO S-25 450MM  ,0
,pz,ALC08           ,TUBO ALCANTARILLADO METRICO S-25 500MM  ,0
,pz,ALC09           ,TUBO ALCANTARILLADO METRICO S-25 630MM  ,0
,pz,ALC10           ,CODO 45 ALCANT. METRICO 160 MM          ,0
,pz,ALC11           ,CODO 45 ALCANT. METRICO 200 MM          ,0
,pz,ALC12           ,CODO 45 ALCANT. METRICO 250 MM          ,0
,pz,ALC13           ,CODO 45 ALCANT. METRICO 315 MM          ,0
,pz,ALC14           ,CODO 45 ALCANT. METRICO 355 MM          ,0
,pz,ALC15           ,CODO 45 ALCANT. METRICO 400 MM          ,0
,pz,ALC16           ,CODO 45 ALCANT. METRICO 450 MM          ,0
,pz,ALC17           ,CODO 90 ALCANT. METRICO 160 MM          ,0
,pz,ALC18           ,CODO 90 ALCANT. METRICO 200 MM          ,0
,pz,ALC19           ,CODO 90 ALCANT. METRICO 250 MM          ,0
,pz,ALC20           ,CODO 90 ALCANT. METRICO 315 MM          ,0
,pz,ALC21           ,CODO 90 ALCANT. METRICO 355 MM          ,0
,pz,ALC22           ,"SILLETA PVC ALCANT.METRICO.160X110""     ",0
,pz,ALC23           ,"SILLETA PVC ALCANT.METRICO.200 X 110""   ",0
,pz,ALC24           ,"SILLETA PVC ALCANT.METRICO.200 X 160""   ",0
,pz,ALC25           ,"SILLETA PVC ALCANT.METRICO.250 X 110""   ",0
,pz,ALC26           ,"SILLETA PVC ALCANT.METRICO.250 X 160""   ",0
,pz,ALC27           ,"SILLETA PVC ALCANT.METRICO.315 X 110""   ",0
,pz,ALC28           ,"SILLETA PVC ALCANT.METRICO.315 X 160""   ",0
,pz,ALC29           ,"SILLETA PVC ALCANT.METRICO.315 X 200""   ",0
,pz,ALC30           ,"SILLETA PVC ALCANT.METRICO.315 X 250""   ",0
,pz,ALC31           ,"SILLETA PVC ALCANT.METRICO.355 X 110""   ",0
,pz,ALC32           ,"SILLETA PVC ALCANT.METRICO.355 X 160""   ",0
,pz,ALC33           ,"SILLETA PVC ALCANT.METRICO.400 X 110""   ",0
,pz,ALC34           ,"SILLETA PVC ALCANT.METRICO.400 X 160""   ",0
,pz,ALC35           ,"SILLETA PVC ALCANT.METRICO.450 X 160""   ",0
,pz,CG01            ,COPLE GALVANIZADO 1/2                   ,0
,pz,CG02            ,COPLE GALVANIZADO 3/4                   ,0
,pz,CG03            ,"COPLE GALVANIZADO 1""                    ",0
,pz,CG04            ,COPLE GALVANIZADO 11/4                  ,0
,pz,CG05            ,COPLE GALVANIZADO 11/2                  ,0
,pz,CG06            ,COPLE GALVANIZADO 2                     ,0
,pz,CG07            ,COPLE GALVANIZADO 21/2                  ,0
,pz,CG08            ,COPLE GALVANIZADO 3                     ,0
,pz,CG09            ,COPLE GALVANIZADO 4                     ,0
,pz,CG10            ,COPLE GALVANIZADO 6                     ,0
,pz,CG100           ,REDUCCION BUSHING 2 X 1 1/4             ,0
,pz,CG101           ,REDUCCION BUSHING 2 X 1 1/2             ,0
,pz,CG102           ,REDUCCION BUSHING 2 1/2 X 1/2           ,0
,pz,CG103           ,REDUCCION BUSHING 2 1/2 X 3/4           ,0
,pz,CG104           ,REDUCCION BUSHING 2 1/2 X 1             ,0
,pz,CG105           ,REDUCCION BUSHING 2 1/2 X 1 1/4         ,0
,pz,CG106           ,REDUCCION BUSHING 2 1/2 X 1 1/2         ,0
,pz,CG107           ,REDUCCION BUSHING 2 1/2 X 2             ,0
,pz,CG108           ,REDUCCION BUSHING 3 X 1/2               ,0
,pz,CG109           ,REDUCCION BUSHING 3 X 3/4               ,0
,pz,CG11            ,CODO GALVANIZADO 1/2X45                 ,0
,pz,CG110           ,REDUCCION BUSHING 3 X 1                 ,0
,pz,CG111           ,REDUCCION BUSHING 3 X 1 1/4             ,0
,pz,CG112           ,REDUCCION BUSHING 3 X 1 1/2             ,0
,pz,CG113           ,REDUCCION BUSHING 3 X 2                 ,0
,pz,CG114           ,REDUCCION BUSHING 3 X 2 1/2             ,0
,pz,CG115           ,REDUCCION BUSHING 4 X 1/2               ,0
,pz,CG116           ,REDUCCION BUSHING 4 X 3/4               ,0
